Date/Time,ISS Latitude,ISS Longitude,MI_X (µT),MI_Y (µT),MI_Z (µT),Temperature (°C)
2021-04-22 13:57:09.543388,-47.2122346376091,76.43775349225824,4.6247172355651855,8.101722717285156,7.200234889984131,30.7821
2021-04-22 13:57:20.028311,-47.49625439386574,77.35090197296475,8.608017921447754,14.286916732788086,12.64712905883789,30.8182
2021-04-22 13:57:30.488157,-47.74743118549837,78.18996339174414,11.523163795471191,19.480419158935547,17.299894332885742,30.8182
2021-04-22 13:57:40.978215,-47.99179486343392,79.03744643377016,13.994987487792969,23.589292526245117,20.642419815063477,30.8182
2021-04-22 13:57:51.457418,-48.25257490103959,79.9793090297474,15.953756332397461,26.988494873046875,23.597564697265625,30.8362
2021-04-22 13:58:01.958980,-48.48222635150293,80.84418856358943,17.587596893310547,29.73533058166504,25.87639808654785,30.8002
2021-04-22 13:58:12.487666,-48.726528557735946,81.8049298024326,18.986499786376953,32.078182220458984,27.637178421020508,30.728
2021-04-22 13:58:22.968106,-48.94092819578265,82.68671405447041,20.211795806884766,33.95130157470703,28.923860549926758,30.9083
2021-04-22 13:58:33.447997,-49.16816517437439,83.66570555877585,21.346738815307617,35.425270080566406,29.869138717651367,30.7461
2021-04-22 13:58:43.918014,-49.366793905627524,84.56373883084913,22.13114356994629,36.65731430053711,30.511306762695312,30.728
2021-04-22 13:58:54.387456,-49.576398750876876,85.56020195905145,22.7344970703125,37.62601852416992,31.14522933959961,30.8362
2021-04-22 13:59:04.887716,-49.75874772624329,86.47371243978398,23.224714279174805,38.51411437988281,31.48141098022461,30.6559
2021-04-22 13:59:15.348801,-49.95017743811124,87.48671145596691,23.915727615356445,39.17573928833008,31.5675048828125,30.8362
2021-04-22 13:59:25.818192,-50.11576854434903,88.41477023963157,23.64263916015625,39.87955856323242,31.92613983154297,30.6379
2021-04-22 13:59:36.278402,-50.288507443553236,89.4432123135279,24.25898551940918,40.341094970703125,31.9647216796875,30.8002
2021-04-22 13:59:46.749640,-50.43687964289342,90.38476072080333,24.567625045776367,40.69695281982422,31.72161865234375,30.71
2021-04-22 13:59:57.228411,-50.59044278600282,91.42739592779493,25.020315170288086,40.9445915222168,31.60643768310547,30.7461
2021-04-22 14:00:07.729564,-50.721179436906034,92.38123184538722,25.593534469604492,41.33708953857422,31.446229934692383,30.71
2021-04-22 14:00:18.199465,-50.85512969181374,93.43665999669427,25.892051696777344,41.7370491027832,31.60538101196289,30.692
2021-04-22 14:00:28.688519,-50.96784830368646,94.40143787733692,26.18084716796875,41.928096771240234,31.277515411376953,30.5838
2021-04-22 14:00:39.147889,-51.08178610432603,95.46812218039614,26.33455467224121,42.206146240234375,30.98065185546875,30.7461
2021-04-22 14:00:49.628987,-51.17614858280434,96.44238719379594,26.503469467163086,42.53399658203125,31.061752319335938,30.5117
2021-04-22 14:01:00.088651,-51.2697255895281,97.51865425226069,26.802122116088867,42.828575134277344,30.850826263427734,30.6198
2021-04-22 14:01:10.607923,-51.34544506666686,98.50083545490853,26.86250114440918,42.98872375488281,30.429115295410156,30.728
2021-04-22 14:01:21.067882,-51.41837782662425,99.58490258940544,27.032535552978516,43.250877380371094,29.915212631225586,30.6198
2021-04-22 14:01:31.540701,-51.47521524580252,100.57332658495466,27.255760192871094,43.52223587036133,29.21193504333496,30.692
2021-04-22 14:01:42.000416,-51.52727153256177,101.66331549346198,27.493005752563477,43.710052490234375,28.725852966308594,30.6379
2021-04-22 14:01:52.478003,-51.56504589376652,102.65624058367425,27.63524055480957,43.87172317504883,28.511425018310547,30.5658
2021-04-22 14:02:02.987814,-51.593698537334724,103.65068197588225,27.728242874145508,43.990211486816406,28.301504135131836,30.5297
2021-04-22 14:02:13.459107,-51.61465697280291,104.74581401683459,27.82270050048828,43.938411712646484,28.061826705932617,30.5477
2021-04-22 14:02:23.938214,-51.62409287914129,105.74207906955098,28.482460021972656,44.1258544921875,27.65315055847168,30.5477
2021-04-22 14:02:34.399289,-51.6238845583716,106.83820831812214,28.387161254882812,44.274051666259766,27.178495407104492,30.5658
2021-04-22 14:02:44.867736,-51.61406957653429,107.83445288027103,28.346416473388672,44.465904235839844,26.621341705322266,30.5477
2021-04-22 14:02:55.326998,-51.59269791462132,108.92955077027752,28.29658317565918,44.43315124511719,26.341041564941406,30.4756
2021-04-22 14:03:05.818720,-51.563669610648766,109.923930690783,28.44948387145996,44.523040771484375,25.941747665405273,30.6018
2021-04-22 14:03:16.277180,-51.52120290948421,111.01596182585214,28.541711807250977,44.68611526489258,25.44328498840332,30.4936
2021-04-22 14:03:26.737390,-51.47305007583562,112.00666027439497,28.498493194580078,44.882354736328125,24.37411880493164,30.6198
2021-04-22 14:03:37.198024,-51.409624939202885,113.09365756004583,28.054428100585938,45.05490493774414,24.05103302001953,30.4395
2021-04-22 14:03:47.658339,-51.342501255134586,114.07889185725266,28.14425277709961,45.1297721862793,23.905540466308594,30.5117
2021-04-22 14:03:58.119117,-51.25831575851959,115.1589428405176,28.304349899291992,44.98114776611328,23.381208419799805,30.4576
2021-04-22 14:04:08.647838,-51.17243637499043,116.1370122692851,28.374616622924805,45.16191482543945,22.914228439331055,30.4576
2021-04-22 14:04:19.127593,-51.06775348067624,117.20825913870989,28.367067337036133,45.194740295410156,22.54240608215332,30.4395
2021-04-22 14:04:29.598123,-50.96338135996927,118.17754494420474,28.28905487060547,45.28964614868164,22.25229835510254,30.4576
2021-04-22 14:04:40.058411,-50.83852550194144,119.23830064306439,28.430152893066406,45.20477294921875,22.03716278076172,30.4936
