Date/Time,ISS Latitude,ISS Longitude,MI_X (µT),MI_Y (µT),MI_Z (µT),Tot_MI,Temperature (°C)
45:56.4,50.16812877,-103.0874509,-47.49416351,-2.468100786,42.63037491,42.14197697,30.0248
46:06.9,50.3232492,-102.1483887,-47.39569092,-2.460252523,43.05835724,42.5755714,30.0068
46:17.4,50.48427774,-101.1082055,-47.44478607,-2.486367702,43.54120636,43.0647639,29.9888
46:27.9,50.62183092,-100.156323,-46.78794479,-2.388432503,44.1449852,43.67718378,29.9527
46:38.4,50.76331146,-99.10273905,-46.9353714,-2.333042145,44.2811203,43.81010533,29.9708
46:48.9,50.88289441,-98.13934769,-46.96857834,-2.178138971,44.67485809,44.19975856,29.9888
46:59.3,51.00440348,-97.0738655,-46.89347458,-2.21894908,44.9343071,44.46484246,29.8806
47:09.8,51.10566103,-96.10037913,-47.67346954,-2.037031174,45.30622864,44.82332406,29.9167
47:20.3,51.20683662,-95.024638,-47.65370178,-2.091944456,45.44069672,44.9619778,29.9708
47:30.8,51.28945801,-94.04261389,-47.51256943,-1.918227196,45.64947128,45.16681586,29.9527
47:41.3,51.36997911,-92.95836917,-47.46134186,-1.902847648,45.97970581,45.5004707,30.0248
47:51.8,51.43370819,-91.9694534,-47.49554825,-1.979653358,46.2548027,45.78133083,29.8806
48:02.2,51.49332891,-90.87856974,-47.48972321,-1.889809728,46.59925461,46.12561314,29.9167
48:12.7,51.53796078,-89.88449718,-48.207901,-1.903971553,47.10930634,46.63372117,29.8986
48:23.2,51.57648646,-88.788928,-48.74299622,-1.712385654,47.3214798,46.83494122,29.8986
48:33.7,51.6018811,-87.79149499,-48.4056282,-1.73361218,47.47488785,46.9943056,29.9888
48:44.2,51.6191888,-86.69323472,-48.29628754,-1.585634589,47.85479355,47.37403524,29.9888
48:54.7,51.62526084,-85.6942854,-47.58250046,-1.532847643,48.20491028,47.73343164,29.8626
49:05.2,51.62129592,-84.5953831,-47.50160217,-1.223701835,48.30360413,47.82503545,29.8806
49:15.6,51.60802486,-83.59678212,-47.25447464,-1.013319969,48.53413773,48.05553941,29.9527
49:26.1,51.58280097,-82.49928683,-47.10760498,-1.024467826,48.67241287,48.19694704,29.9347
49:36.6,51.5502278,-81.50288518,-47.11938858,-0.76178515,49.03320313,48.55631717,29.9347
49:47.0,51.50382691,-80.40881865,-47.09768295,-0.602361739,49.17778397,48.70030382,30.0429
49:57.5,51.4520609,-79.41645363,-46.99549484,-0.532861292,49.43827438,48.96357238,29.9167
50:08.1,51.38462645,-78.32781027,-47.14292526,-0.378759176,49.84875488,49.37508376,29.9347
50:18.6,51.31383495,-77.34125775,-47.25482559,-0.300659031,50.18014145,49.70796884,29.8085
50:29.1,51.22558549,-76.25995684,-47.25929642,-0.262304813,50.55707169,50.08819227,29.8265
50:39.5,51.13598707,-75.28091069,-47.22744751,-0.040515903,50.85424042,50.38777592,29.8806
50:50.0,51.02719923,-74.2087759,-46.94943237,-0.008434501,51.34700012,50.88776926,29.9347
51:00.5,50.91907051,-73.23886172,-46.84736252,-0.115070537,51.35557175,50.89755032,29.9347
51:11.0,50.80223671,-72.27383112,-46.74039078,0.018443691,51.55254364,51.09720839,29.8626
51:21.5,50.66375121,-71.21832783,-46.41242599,0.21169655,51.77626419,51.32654209,29.8626
51:31.9,50.52888912,-70.26460803,-46.24404526,0.406220049,52.24124527,51.79834627,29.8445
51:42.4,50.3707839,-69.22228018,-46.09968567,0.584110796,52.65480423,52.21848244,29.8626
51:52.9,50.21828968,-68.28118257,-46.0092926,0.969925463,52.72529984,52.29616339,29.9167
52:03.4,50.04102237,-67.25341668,-45.80241394,1.253800869,52.87150192,52.45155211,29.8806
52:13.9,49.87132973,-66.32612288,-45.56509399,1.26540494,53.08623123,52.67052403,29.8085
52:24.4,49.67539551,-65.31414156,-45.37427139,1.566137075,53.76538467,53.36473651,29.9708
52:34.8,49.48896208,-64.40170342,-45.31067657,1.956128478,53.79889679,53.41195613,29.9888
52:45.3,49.27488688,-63.40657218,-44.93768311,2.353121281,53.98278809,53.61661036,29.9888
52:55.8,49.07221468,-62.50987762,-44.75780487,2.599213839,54.11779022,53.76554032,29.9347
53:06.3,48.84055515,-61.53250487,-44.44528198,2.821837187,54.21900177,53.88151479,29.9708
53:16.7,48.62215302,-60.65231206,-44.29144669,3.130709887,54.37643051,54.05835821,29.8626
53:27.2,48.37348291,-59.69344912,-43.91746521,3.294369936,54.7901268,54.48755273,29.9527
53:37.7,48.13988703,-58.83037959,-43.57360458,3.549044609,54.98814392,54.70574088,29.9347
53:48.2,47.87479714,-57.89062069,-43.32312012,3.719634771,55.04853439,54.78004839,29.8806
53:58.7,47.6265505,-57.04514572,-43.0702858,3.96877718,54.86509705,54.61556354,29.9347
54:09.1,47.34564531,-56.1249519,-42.9132576,4.043494701,55.12638855,54.88492786,30.0068
54:19.7,47.08329433,-55.29741984,-42.65155411,4.361049652,55.1671524,54.95254229,30.0068
54:30.1,46.78718514,-54.3971087,-42.60140991,4.566404819,55.29014206,55.09310712,30.0429
54:40.6,46.51128647,-53.58775177,-42.4940033,4.740502834,55.54250336,55.3619729,29.8806
54:51.1,46.20057775,-52.70751115,-42.32046509,4.918103218,55.69748688,55.53446964,30.0248
55:01.6,45.91168807,-51.91644547,-42.03894806,5.243842125,55.89847565,55.76825721,29.8986
55:12.1,45.58698771,-51.05634706,-41.76992035,5.498182774,56.05234146,55.9493081,29.9347
55:22.6,45.28565001,-50.28358971,-41.56531525,5.746249199,56.38183975,56.30600251,29.9888
55:33.0,44.94755906,-49.4436028,-41.33729935,5.966986179,56.42866516,56.37784917,30.0248
55:43.5,44.63431975,-48.68907863,-41.11802292,6.209848881,56.72822952,56.70569835,29.9347
55:54.0,44.28342903,-47.86907344,-40.78598404,6.419387817,56.77002335,56.77374487,29.9347
56:04.5,43.95882088,-47.1326322,-40.50770569,6.660499096,56.67437363,56.70836947,29.9527
56:15.0,43.59571094,-46.33239699,-40.3419342,6.888535976,56.43453979,56.49749796,29.9347
56:25.5,43.26024962,-45.61380645,-40.01367188,6.531567574,56.6227951,56.64617047,30.0609
56:36.0,42.91980225,-44.90362045,-39.7702446,6.900169849,56.71494293,56.78403694,29.9167
56:46.5,42.53968857,-44.13203447,-39.51875687,7.261541367,56.8888588,57.00485489,29.9888
56:57.0,42.18913594,-43.43925522,-39.28252792,7.53352356,56.93159103,57.08482729,29.8806
57:07.5,41.79817249,-42.68662301,-39.05944824,7.745167255,56.90524292,57.08883288,29.8265
57:18.0,41.43800296,-42.01088849,-38.70240784,8.153772354,57.0259819,57.26905105,29.9347
57:28.5,41.0367191,-41.27679,-38.45960236,8.374088287,57.15973663,57.43606223,29.9167
57:38.9,40.66740053,-40.61769382,-38.22364426,8.679355621,57.26541138,57.58849633,29.9167
57:49.4,40.2563051,-39.9016646,-37.95986938,9.029598236,57.33600235,57.71473764,29.9888
57:59.9,39.8782917,-39.25877646,-37.74791718,9.547096252,57.1913681,57.65632416,29.9167
58:10.4,39.45787306,-38.56032132,-37.55356216,10.03944683,57.13466644,57.68541445,29.8806
58:20.9,39.07159854,-37.93317335,-37.22340393,10.47601795,57.04345703,57.67564077,29.9167
58:31.4,38.6423314,-37.25176977,-36.87159348,10.86847591,57.16576385,57.87207213,29.9347
58:41.8,38.24821582,-36.63988386,-36.36451721,11.15689945,57.17499161,57.94041382,29.9708
58:52.3,37.81054755,-35.97499226,-36.24693298,11.30642986,57.45809174,58.24964145,29.8445
59:02.9,37.4089939,-35.37786298,-35.99612808,11.69466782,57.56066132,58.42943486,29.9527
59:13.4,36.9633582,-34.72893353,-35.67058563,12.04856491,57.63085556,58.57314097,29.8626
59:23.8,36.55475238,-34.14605543,-35.37149429,12.18436623,57.76137543,58.73213581,29.8445
59:34.3,36.10156591,-33.51252124,-35.10872269,12.55833149,57.61027527,58.66469793,29.8445
59:44.8,35.68627675,-32.94338207,-34.73731232,12.84354782,57.59950638,58.71901347,30.0068
59:55.3,35.22593225,-32.32467279,-34.27179718,13.24913979,57.74210358,58.95267961,30.0068
00:05.8,34.80431492,-31.76875687,-34.0357666,13.63768673,57.82310486,59.12243388,30.0429
00:16.3,34.33719486,-31.1643022,-33.88829041,13.93814945,57.79316711,59.16446471,29.9708
00:26.8,33.90958063,-30.62109043,-33.67599106,14.30163288,57.60827255,59.07261445,29.8986
00:37.3,33.43604361,-30.03032687,-33.20656967,14.54288292,57.49277496,59.02294509,30.0068
00:47.8,33.00276031,-29.49930357,-32.77038956,15.01669025,57.42805481,59.0822484,29.9888
00:58.3,32.52315468,-28.92167106,-32.44949341,15.3113203,57.46985626,59.20110991,29.9708
01:08.8,32.08450285,-28.40232567,-32.25958252,15.4913168,57.60660934,59.38217539,29.9708
01:19.3,31.59915644,-27.83726071,-31.85582542,16.03765678,57.63742447,59.5602494,29.9527
01:29.7,31.15542979,-27.32909293,-31.54809952,16.35651016,57.69268799,59.70287742,29.9708
01:40.2,30.6646602,-26.7760508,-31.14422798,16.77867699,57.63720703,59.76978675,29.8626
01:50.7,30.21614217,-26.27856544,-30.69424438,17.0187912,57.58435059,59.79048789,30.0068
02:01.2,29.72024312,-25.73700657,-30.42296028,17.34183884,57.5256691,59.82908172,29.9167
02:11.8,29.26719667,-25.24971867,-30.13228416,17.72307205,57.51557922,59.93343685,29.9347
02:22.2,28.76645843,-24.71911201,-29.81115723,18.05443382,57.67291641,60.18568527,29.9527
02:32.7,28.30913799,-24.24154519,-29.40142059,18.41899681,57.71735764,60.34195386,29.8986
02:43.2,27.80383376,-23.72137335,-28.94933701,18.75952339,57.76496506,60.49596325,29.9888
02:53.7,27.3424801,-23.25306313,-28.61441612,19.01546097,57.79173279,60.60410645,29.9347
